DATE,VIX_Regime,SPY_Regime,VIX,SPX_Drawdown,Combined_Regime
2020-04-13,High_Vol,Regime_1,41.16999816894531,0.0,High_Vol_Regime_1
2020-04-14,High_Vol,Regime_1,37.7599983215332,0.0,High_Vol_Regime_1
2020-04-15,High_Vol,Regime_1,40.84000015258789,-2.2030438529415775,High_Vol_Regime_1
2020-04-16,High_Vol,Regime_1,40.11000061035156,-1.6341893286892173,High_Vol_Regime_1
2020-04-17,High_Vol,Regime_1,38.150001525878906,0.0,High_Vol_Regime_1
2020-04-20,High_Vol,Regime_1,43.83000183105469,-1.788104803401469,High_Vol_Regime_1
2020-04-21,High_Vol,Regime_1,45.40999984741211,-4.800734623283898,High_Vol_Regime_1
2020-04-22,High_Vol,Regime_1,41.97999954223633,-2.617791886971832,High_Vol_Regime_1
2020-04-23,High_Vol,Regime_1,41.380001068115234,-2.6703220040974363,High_Vol_Regime_1
2020-04-24,High_Vol,Regime_1,35.93000030517578,-1.3156819683175058,High_Vol_Regime_1
2020-04-27,High_Vol,Regime_1,33.290000915527344,0.0,High_Vol_Regime_1
2020-04-28,High_Vol,Regime_1,33.56999969482422,-0.5242380698498916,High_Vol_Regime_1
2020-04-29,High_Vol,Regime_1,31.229999542236328,0.0,High_Vol_Regime_1
2020-04-30,High_Vol,Regime_1,34.150001525878906,-0.9212446303987654,High_Vol_Regime_1
2020-05-01,High_Vol,Regime_1,37.189998626708984,-3.701298803768993,High_Vol_Regime_1
2020-05-04,High_Vol,Regime_1,35.970001220703125,-3.2920459263537483,High_Vol_Regime_1
2020-05-05,High_Vol,Regime_1,33.61000061035156,-2.4177522145958474,High_Vol_Regime_1
2020-05-06,High_Vol,Regime_1,34.119998931884766,-3.098818768706557,High_Vol_Regime_1
2020-05-07,High_Vol,Regime_1,31.440000534057617,-1.9840064556890247,High_Vol_Regime_1
2020-05-08,High_Vol,Regime_1,27.979999542236328,-0.3303258333954173,High_Vol_Regime_1
2020-05-11,High_Vol,Regime_1,27.56999969482422,-0.3170619704784827,High_Vol_Regime_1
2020-05-12,High_Vol,Regime_1,33.040000915527344,-2.3605938522950565,High_Vol_Regime_1
2020-05-13,High_Vol,Regime_1,35.279998779296875,-4.065643912372796,High_Vol_Regime_1
2020-05-14,High_Vol,Regime_1,32.61000061035156,-2.9600174681004954,High_Vol_Regime_1
2020-05-15,High_Vol,Regime_1,31.88999938964844,-2.5790032468640756,High_Vol_Regime_1
2020-05-18,High_Vol,Regime_1,29.299999237060547,0.0,High_Vol_Regime_1
2020-05-19,High_Vol,Regime_1,30.530000686645508,-1.0484399194493177,High_Vol_Regime_1
2020-05-20,High_Vol,Regime_1,27.989999771118164,0.0,High_Vol_Regime_1
2020-05-21,High_Vol,Regime_1,29.530000686645508,-0.7773596407737116,High_Vol_Regime_1
2020-05-22,High_Vol,Regime_1,28.15999984741211,-0.5438181883161031,High_Vol_Regime_1
2020-05-26,High_Vol,Regime_1,28.010000228881836,0.0,High_Vol_Regime_1
2020-05-27,High_Vol,Regime_1,27.6200008392334,0.0,High_Vol_Regime_1
2020-05-28,High_Vol,Regime_1,28.59000015258789,-0.21079145460738413,High_Vol_Regime_1
2020-05-29,High_Vol,Regime_1,27.510000228881836,0.0,High_Vol_Regime_1
2020-06-01,High_Vol,Regime_1,28.229999542236328,0.0,High_Vol_Regime_1
2020-06-02,High_Vol,Regime_1,26.84000015258789,0.0,High_Vol_Regime_1
2020-06-03,High_Vol,Regime_1,25.65999984741211,0.0,High_Vol_Regime_1
2020-06-04,High_Vol,Regime_1,25.809999465942383,-0.33687022311144066,High_Vol_Regime_1
2020-06-05,Medium_Vol,Regime_1,24.520000457763672,0.0,Medium_Vol_Regime_1
2020-06-08,High_Vol,Regime_1,25.809999465942383,0.0,High_Vol_Regime_1
2020-06-09,High_Vol,Regime_1,27.56999969482422,-0.7799170822611612,High_Vol_Regime_1
2020-06-10,High_Vol,Regime_1,27.56999969482422,-1.307082419017891,High_Vol_Regime_1
2020-06-11,High_Vol,Regime_2,40.790000915527344,-7.12444360287855,High_Vol_Regime_2
2020-06-12,High_Vol,Regime_2,36.09000015258789,-5.911410452777144,High_Vol_Regime_2
2020-06-15,High_Vol,Regime_2,34.400001525878906,-5.129325675352225,High_Vol_Regime_2
2020-06-16,High_Vol,Regime_1,33.66999816894531,-3.3303501718936923,High_Vol_Regime_1
2020-06-17,High_Vol,Regime_1,33.470001220703125,-3.6783898692653194,High_Vol_Regime_1
2020-06-18,High_Vol,Regime_1,32.939998626708984,-3.6211536534085043,High_Vol_Regime_1
2020-06-19,High_Vol,Regime_1,35.119998931884766,-4.165645445585597,High_Vol_Regime_1
2020-06-22,High_Vol,Regime_1,31.770000457763672,-3.543192156961672,High_Vol_Regime_1
2020-06-23,High_Vol,Regime_1,31.3700008392334,-3.1277122152794767,High_Vol_Regime_1
2020-06-24,High_Vol,Regime_2,33.84000015258789,-5.632359353404482,High_Vol_Regime_2
2020-06-25,High_Vol,Regime_1,32.220001220703125,-4.598142171950492,High_Vol_Regime_1
2020-06-26,High_Vol,Regime_2,34.72999954223633,-6.909433922646812,High_Vol_Regime_2
2020-06-29,High_Vol,Regime_2,31.780000686645508,-5.542335804077824,High_Vol_Regime_2
