DATE,AGG,BNB-USD,BTC-USD,DBC,DOGE-USD,ETH-USD,GLD,IEF,SHIB-USD,SOL-USD,TLT,URTH,VNQ,XRP-USD,^IRX,^RUT,^SPX,^VIX,PUT,Mkt-RF,SMB,HML,RF,CDX.NA.IG
2021-10-15,100.44644165039062,473.70263671875,61593.94921875,19.49949836730957,0.23378199338912964,3862.634765625,165.3300018310547,101.59073638916016,2.499999936844688e-05,162.59620666503906,125.96319580078125,122.86943054199219,90.87894439697266,1.1405500173568726,0.03799999877810478,2265.64990234375,4471.3701171875,16.299999237060547,2376.6,0.64,-1.19,0.29,0.0,52.159
2021-10-18,100.37632751464844,485.11102294921875,62026.078125,19.382572174072266,0.2472810000181198,3748.76025390625,164.9199981689453,101.44889831542969,2.9000000722589903e-05,157.2312774658203,126.5538101196289,123.04765319824219,91.10960388183594,1.0838420391082764,0.0430000014603138,2267.840087890625,4486.4599609375,16.309999465942383,2380.83,0.4,-0.23,-0.01,0.0,52.145
2021-10-19,100.08699035644531,488.14886474609375,64261.9921875,19.42754554748535,0.24578799307346344,3877.65087890625,165.4499969482422,101.08538818359375,2.8000000384054147e-05,156.01702880859375,124.80805206298828,123.91053771972656,91.1523208618164,1.092079997062683,0.05000000074505806,2275.909912109375,4519.6298828125,15.699999809265137,2388.43,0.7,-0.49,-0.24,0.0,51.491
2021-10-20,100.01686096191406,501.02032470703125,65992.8359375,19.64340591430664,0.2540929913520813,4155.9921875,166.89999389648438,101.04106140136719,2.9000000722589903e-05,175.94686889648438,123.96553802490234,124.29510498046875,92.5875244140625,1.1423280239105225,0.05000000074505806,2289.77001953125,4536.18994140625,15.489999771118164,2391.62,0.34,-0.02,1.2,0.0,51.24
2021-10-21,99.80646514892578,471.2569274902344,62210.171875,19.34659767150879,0.24239100515842438,4054.32275390625,166.75,100.77510833740234,2.700000004551839e-05,190.3184356689453,123.8178939819336,124.41702270507812,92.71566009521484,1.0893150568008423,0.05000000074505806,2296.179931640625,4549.77978515625,15.010000228881836,2394.41,0.36,0.21,-0.99,0.0,51.651
2021-10-22,99.99933624267578,478.6431579589844,60692.265625,19.436538696289062,0.24422100186347961,3970.181884765625,167.77000427246094,101.03218841552734,2.8000000384054147e-05,196.43153381347656,125.1815185546875,124.50144958496094,93.1513442993164,1.0883740186691284,0.05000000074505806,2291.27001953125,4544.89990234375,15.430000305175781,2393.41,-0.25,-0.23,1.02,0.0,52.085
2021-10-25,100.09574127197266,484.64508056640625,63039.82421875,19.53547477722168,0.2647069990634918,4217.876953125,168.92999267578125,101.15631866455078,4.199999966658652e-05,210.1042938232422,124.99040222167969,124.84846496582031,93.45035552978516,1.0951579809188843,0.05000000074505806,2312.639892578125,4566.47998046875,15.239999771118164,2398.1,0.56,0.49,-0.13,0.0,51.36
2021-10-26,100.27986907958984,478.0250549316406,60363.79296875,19.562458038330078,0.255731999874115,4131.10205078125,167.67999267578125,101.28042602539062,4.8000001697801054e-05,199.8072509765625,126.02400970458984,125.01731872558594,93.70663452148438,1.108093023300171,0.05000000074505806,2296.080078125,4574.7900390625,15.979999542236328,2397.59,0.05,-0.7,-0.3,0.0,50.975
2021-10-27,100.61302947998047,449.00799560546875,58482.38671875,19.202688217163086,0.2376900017261505,3930.25732421875,168.1199951171875,101.84784698486328,7.999999797903001e-05,183.77459716796875,128.31690979003906,124.39826202392578,92.91215515136719,0.9954519867897034,0.05000000074505806,2252.489990234375,4551.68017578125,16.979999542236328,2393.76,-0.76,-0.72,-1.2,0.0,51.588
2021-10-28,100.53413391113281,492.0155334472656,60622.13671875,19.301624298095703,0.3004469871520996,4287.31884765625,168.0800018310547,101.58186340332031,6.800000119255856e-05,194.86398315429688,127.88264465332031,125.55191802978516,94.21065521240234,1.0588200092315674,0.04800000041723251,2297.97998046875,4596.419921875,16.530000686645508,2400.44,1.11,0.88,-0.5,0.0,51.221
2021-10-29,100.50780487060547,529.6221313476562,62227.96484375,19.202688217163086,0.2878530025482178,4414.74658203125,166.64999389648438,101.62619018554688,7.500000356230885e-05,200.18275451660156,128.27352905273438,125.53316497802734,93.1513442993164,1.0815030336380005,0.04800000041723251,2297.18994140625,4605.3798828125,16.260000228881836,2401.2,0.21,0.19,-0.83,0.0,52.283
2021-11-01,100.44635772705078,551.2559204101562,61004.40625,19.34659767150879,0.2717280089855194,4324.626953125,167.52000427246094,101.61822509765625,7.200000254670158e-05,203.5450897216797,127.34992980957031,126.0677719116211,93.61265563964844,1.0928670167922974,0.03999999910593033,2358.1201171875,4613.669921875,16.40999984741211,2403.75,0.5,2.0,0.44,0.0,52.563
2021-11-02,100.6483383178711,554.4476318359375,63226.40234375,19.40056037902832,0.2731209993362427,4584.798828125,167.16000366210938,101.86663055419922,6.900000153109431e-05,220.23959350585938,127.91516876220703,126.33039855957031,94.05689239501953,1.1361960172653198,0.04500000178813934,2361.860107421875,4630.64990234375,16.030000686645508,2405.92,0.25,-0.29,-0.55,0.0,51.976
2021-11-03,100.44635772705078,568.5787963867188,62970.046875,18.905879974365234,0.2694070041179657,4607.19384765625,165.77000427246094,101.54723358154297,5.500000042957254e-05,242.89881896972656,126.59332275390625,127.20269012451172,94.37298583984375,1.2087960243225098,0.04500000178813934,2404.280029296875,4660.56982421875,15.100000381469727,2408.74,0.79,1.45,-0.16,0.0,50.878
2021-11-04,100.78004455566406,559.7373046875,61452.23046875,18.78895378112793,0.2632800042629242,4537.32421875,167.64999389648438,102.09730529785156,4.8999998398358e-05,247.3877716064453,127.92385864257812,127.48407745361328,93.4759750366211,1.202003002166748,0.03500000014901161,2402.429931640625,4680.06005859375,15.4399995803833,2409.87,0.39,-0.02,-1.38,0.0,50.353
2021-11-05,101.17520904541016,608.6480712890625,61125.67578125,19.049787521362305,0.26146501302719116,4486.2431640625,169.83999633789062,102.65623474121094,6.199999916134402e-05,236.47433471679688,129.83706665039062,127.89677429199219,93.95438385009766,1.161532998085022,0.03999999910593033,2437.080078125,4697.52978515625,16.479999542236328,2410.39,0.37,0.68,1.22,0.0,49.411
2021-11-08,100.99076080322266,654.3150024414062,67566.828125,19.166711807250977,0.2823590040206909,4812.08740234375,170.4499969482422,102.2126235961914,5.500000042957254e-05,248.46717834472656,129.5935821533203,127.98117065429688,93.87748718261719,1.282377004623413,0.03500000014901161,2442.739990234375,4701.7001953125,17.219999313354492,2411.3,0.16,0.02,0.1,0.0,49.468
2021-11-09,101.27178192138672,635.1906127929688,66971.828125,19.319612503051758,0.27352601289749146,4735.06884765625,171.2899932861328,102.68285369873047,5.500000042957254e-05,239.213134765625,131.28070068359375,127.59661102294922,94.03981018066406,1.258929967880249,0.03999999910593033,2427.2900390625,4685.25,17.780000686645508,2411.11,-0.34,-0.18,0.46,0.0,50.146
2021-11-10,100.58682250976562,615.278076171875,64995.23046875,19.07676887512207,0.2557089924812317,4636.17431640625,173.14999389648438,101.80452728271484,4.999999873689376e-05,233.77952575683594,128.88050842285156,126.33978271484375,93.60411071777344,1.1933729648590088,0.04500000178813934,2389.580078125,4646.7099609375,18.729999542236328,2410.39,-1.04,-0.66,0.95,0.0,51.374
2021-11-11,100.40245056152344,629.892333984375,64949.9609375,19.21168327331543,0.2611669898033142,4730.38427734375,174.1199951171875,101.47628784179688,5.700000110664405e-05,234.24075317382812,128.68917846679688,126.61177825927734,93.75788116455078,1.2183640003204346,0.03999999910593033,2409.139892578125,4649.27001953125,17.65999984741211,2411.9,0.17,0.53,0.34,0.0,
2021-11-12,100.38485717773438,626.6425170898438,64155.94140625,19.18470001220703,0.2594139873981476,4667.115234375,174.4499969482422,101.6891860961914,5.199999941396527e-05,228.50209045410156,128.1239013671875,127.58724975585938,93.68954467773438,1.1893550157546997,0.0430000014603138,2411.780029296875,4682.85009765625,16.290000915527344,2413.31,0.74,-0.32,-0.91,0.0,50.776
2021-11-15,100.0160903930664,633.0486450195312,63557.87109375,19.193695068359375,0.2565290033817291,4557.50390625,174.17999267578125,101.28997802734375,5.2999999752501026e-05,237.55360412597656,126.51502990722656,127.48407745361328,94.34735107421875,1.1713709831237793,0.03799999877810478,2400.929931640625,4682.7998046875,16.489999771118164,2413.73,-0.06,-0.52,0.7,0.0,50.764
