DATE,BTC_only,BTC_SOL_ETH,MarketCap_All
2021-04-16,0.0,0.0,0.0
2021-04-19,-0.09498552082094902,0.014316175298168865,-0.07773849284057532
2021-04-20,0.013436976092944253,0.027378999309710217,0.024409954255364408
2021-04-21,-0.045454287638402646,0.0005655134801008099,-0.03783881040568993
2021-04-22,-0.03976946598174669,0.07410867091704221,-0.02448232659375471
2021-04-23,-0.012917150838772984,-0.030403045502287562,-0.014028636274200257
2021-04-26,0.057308519320564466,0.12075117941341773,0.0689525486236986
2021-04-27,0.018721407731506323,0.011004167076713589,0.024428664123971267
2021-04-28,-0.003787066282106566,0.025314529239717887,0.003991692902178601
2021-04-29,-0.02315733013830157,-0.028916701000836653,-0.01309951611936122
2021-04-30,0.07833176806484676,0.02567312966729518,0.06481135360789492
2021-05-03,-0.009521751320426763,0.10048859649041275,0.042434421916351495
2021-05-04,-0.06760024652955032,-0.0630253805365274,-0.06584342263666743
2021-05-05,0.07669599321369813,0.07034054247302501,0.08173547712998785
2021-05-06,-0.01789307689659958,-0.0196826604064525,-0.018264673052746483
2021-05-07,0.017020319573156417,0.0028625255420895446,0.013475832846541191
2021-05-10,-0.02609308477509642,0.03541964417721122,0.021849598234654266
2021-05-11,0.01512317249631967,0.03727209455212521,0.02298015151912347
2021-05-12,-0.1332174549686006,-0.0912252796303048,-0.1335755979902269
2021-05-13,0.011508648851976444,-0.014717732808188111,0.011538889896339555
2021-05-14,0.00330563837155351,0.05146115911802651,0.02361908274528468
2021-05-17,-0.12716430201942663,-0.08453511742189312,-0.12544281488313824
2021-05-18,-0.014426855146374762,0.0783261664325654,0.005821375366394488
2021-05-19,-0.13766122609163733,-0.2791314258358365,-0.19907308395556234
2021-05-20,0.10216344466291027,0.1739261646800263,0.11633531818788567
2021-05-21,-0.08528232829817228,-0.11726050542173305,-0.10211320576211469
2021-05-24,0.037563346852005575,-0.03506935677501788,0.03839814982803369
2021-05-25,-0.007847826326095708,-0.0070225395574951,-0.007145685599404539
2021-05-26,0.023227211885217036,0.08958955686408121,0.04089002481225501
2021-05-27,-0.021815700174415587,-0.04426082268424458,-0.03188008635467976
2021-05-28,-0.07126897282320166,-0.10865417572149094,-0.08248122204355979
2021-06-01,0.027657886279355948,0.06213356064943465,0.04846743533404019
2021-06-02,0.02426756732611457,0.04924132022471883,0.03130593730017228
2021-06-03,0.043475133082156336,0.08866202146573121,0.048195452920821946
2021-06-04,-0.05902658087058821,-0.056269142767679914,-0.06075878155293102
2021-06-07,-0.0903578498095493,-0.03114315053404504,-0.07954311963789584
2021-06-08,-0.002624325484799628,0.023940423040584857,-0.0027547946736043993
2021-06-09,0.11569117681725549,0.048822872860189825,0.09275283071111828
2021-06-10,-0.017205016845092902,-0.0295862278518777,-0.026557690085718844
2021-06-11,0.01721406171757489,-0.0583561392646077,-0.0014097084171508234
2021-06-14,0.07724988872736538,0.07629897640193639,0.0755233016028849
2021-06-15,0.004669320789865594,0.03372872769574986,0.00985161186351391
2021-06-16,-0.05096256237308461,-0.05708958073329695,-0.057362655909437565
2021-06-17,-0.00765530850635554,-0.00636248422837582,-0.00465266237346329
2021-06-18,-0.05955451088244701,-0.062229953192932896,-0.058783344406242555
2021-06-21,-0.11486082845287371,-0.18792643774800188,-0.13673748732365276
2021-06-22,0.026169612701372857,0.008671265087281332,0.013876454839816033
2021-06-23,0.0374509295196066,0.0741381587321488,0.05155078968082338
2021-06-24,0.02785663774115754,0.023315465137300206,0.02764808759432502
2021-06-25,-0.08726040120880119,-0.0846559172591349,-0.08695917219534499
2021-06-28,0.08839294990913671,0.1267128741568857,0.09341824402406318
2021-06-29,0.04162825758718758,0.03589328945317405,0.04236911571389168
2021-06-30,-0.023055273214304672,0.02600703273786853,-0.00826289244964662
2021-07-01,-0.04191448950075438,-0.05751821056600581,-0.047827910553954855
2021-07-02,0.00967855812266083,0.0151236895240765,0.009555654051089935
2021-07-06,0.00997574917800259,0.0328834853565485,0.025330451130250564
2021-07-07,-0.011095808977648836,0.017072417846006882,-0.0067191670264840075
2021-07-08,-0.028886355129662422,-0.06966325006678398,-0.042037338998830776
2021-07-09,0.02800225791699651,0.014065190756547663,0.024359295711990248
2021-07-12,-0.019000054436449143,-0.04754522785023818,-0.024201799298293025
2021-07-13,-0.013687548281983153,-0.03859054245525684,-0.02082075979934539
2021-07-14,0.003679352094793753,0.03397782200904542,0.008645248625689383
2021-07-15,-0.031734999531688124,-0.054259642601070635,-0.032641084810097976
2021-07-16,-0.011302175908234458,-0.03241239936262008,-0.015550895484392702
2021-07-19,-0.01921315916604771,-0.04029829463668877,-0.027533026848743702
2021-07-20,-0.03278895069501797,-0.029036471628871685,-0.03244418187271403
2021-07-21,0.07727442675168827,0.10615591397987267,0.0856122943954869
2021-07-22,0.006303573302191001,0.020229176157283257,0.009839751609769243
2021-07-23,0.03925482537500802,0.03970797884266686,0.03871191836348942
2021-07-26,0.11184666245661079,0.05492877868283186,0.09046132278372498
2021-07-27,0.05542428661506338,0.028231963508845492,0.04745810270949424
2021-07-28,0.01494571318484983,0.0029714773975459963,0.016106412212639754
2021-07-29,0.00031292265067750513,0.04631326282348791,0.009965440933006775
2021-07-30,0.055666404612466414,0.0431207161107936,0.04803830205962378
2021-08-02,-0.07182579099729025,0.0006422246031836387,-0.04411179195685777
2021-08-03,-0.026757979365261808,-0.014920500013583471,-0.027783171213713764
2021-08-04,0.041792893187100555,0.06057824695593528,0.04765126243556206
2021-08-05,0.02822946527400849,0.036971015121173956,0.027733213099472298
