peak,trough,recover,ref_dd
2021-11-08,2022-11-21,2024-03-11,-0.7604070136253336
2021-05-11,2021-07-20,2021-10-11,-0.513129469984797
2024-12-16,2025-04-08,2025-07-10,-0.3519146327663837
2024-03-13,2024-09-06,2024-11-11,-0.28565493646213136
2021-04-16,2021-04-23,2021-04-30,-0.12567046140584026
