,BTC-USD,ETH-USD,BNB-USD,SOL-USD,XRP-USD,SHIB-USD,DOGE-USD
2023-08-02,0.26279076382702093,0.18038660647982285,0.24266926183389054,0.06158512967355361,0.068158325149915,0.1047389615305267,0.07967095150527029
2023-08-03,0.2625470442491962,0.1813557699780827,0.24271150657573148,0.06143294703364724,0.06802864615459833,0.10459459924708377,0.07932948676166017
2023-08-04,0.2626925350602484,0.18128434321360948,0.24261484410479456,0.06151036068649403,0.0679642899759833,0.10455465404781991,0.07937897291105038
2023-08-07,0.2627639034324467,0.18134814499052795,0.24487892813424114,0.0615689240003752,0.0678379042449102,0.1022033535863588,0.07939884161113989
2023-08-08,0.26245591101446264,0.18108528887022174,0.24597251045117788,0.0614656340489517,0.06768789523313737,0.10203974908228572,0.07929301129976293
2023-08-09,0.262532566623406,0.18348012610414463,0.24567553705264322,0.06136297294444438,0.06755417566484369,0.10013319806695718,0.07926142354356112
2023-08-10,0.2624931521992357,0.18347461542261356,0.2461093241317799,0.061350503660446594,0.06745115326115603,0.09998066117776588,0.0791405901470022
2023-08-11,0.2628210470234636,0.18400658003537848,0.2456099329060633,0.06134214099064492,0.06737898380913615,0.09981390368106084,0.07902741155425272
2023-08-14,0.26252706256041997,0.1867384394858942,0.2444605197433031,0.06116251125616922,0.06710151486070633,0.09931170928497829,0.0786982428085287
2023-08-15,0.26246734777441627,0.1868093003732645,0.2445538375773323,0.0611272478954741,0.06708790473449265,0.0992891535832743,0.0786652080617459
2023-08-16,0.2622579047928581,0.18725886116945725,0.24410849325456638,0.06108273513276841,0.06686603366703571,0.1001091434231423,0.07831682856017191
2023-08-17,0.26152883007640226,0.1871542291440392,0.24367610452977284,0.06089742388176044,0.06663749403959908,0.10190373633108914,0.07820218199733707
2023-08-18,0.2595739978359846,0.18711233774983277,0.2437982827323182,0.06148171310248328,0.06613426640843559,0.10194137847955939,0.0799580236913862
2023-08-21,0.2596259406198851,0.18734517797676067,0.24453261491961,0.06169823675043457,0.06614853148430981,0.10020552076674018,0.08044397748225957
2023-08-22,0.25981280798875983,0.1874758709913651,0.24478044513005515,0.06175671116686406,0.06616004729796206,0.09915581709313066,0.08085830033186304
2023-08-23,0.26370455592814485,0.19104839137916527,0.24209885289138638,0.06068962257981445,0.06519353567049943,0.09748346429885615,0.07978157725213358
2023-08-24,0.2629903875046543,0.18989569898370595,0.24536442672805336,0.060280928521380846,0.0649548512971509,0.09708447709157068,0.07942922987348397
2023-08-25,0.26290005766922575,0.19013623562967674,0.24529241300458304,0.060235155595931504,0.06492201443898993,0.09709222005384013,0.07942190360775303
2023-08-28,0.26290969652667445,0.19012215610363148,0.24533441703271142,0.06020226965724905,0.06491227694317771,0.09708696216625629,0.07943222157029965
2023-08-29,0.2625883378579084,0.1901217511377527,0.24524974977106204,0.060114871070747075,0.0648131844186711,0.09777900660572764,0.07933309913813116
2023-08-30,0.25952526946216065,0.19327659380380768,0.2454111126145085,0.05969416861592833,0.06399145748488096,0.09938490902497778,0.07871648899373616
2023-08-31,0.25915307721391834,0.1935516733910847,0.24570214035511287,0.05960104589674468,0.06395086225619565,0.09935593320927415,0.07868526767766951
2023-09-01,0.2580259560874732,0.19367710526490436,0.24583034771582507,0.05970061500951592,0.06411212935914934,0.09967648629857005,0.07897736026456205
2023-09-05,0.25810113807775603,0.1937939043432344,0.24571578577556602,0.05967589944392579,0.06406164722269189,0.09967404422580713,0.0789775809110188
2023-09-06,0.2580729690508255,0.19399381358010917,0.24567628728016216,0.05954654872006602,0.0640568184296914,0.09966308133159779,0.07899048160754794
2023-09-07,0.25813610459957276,0.19400332350555163,0.24565838077006655,0.05949408423872549,0.06405433330811618,0.09965679195598078,0.07899698162198669
2023-09-08,0.2597287755878313,0.1929031050062644,0.24667615232440038,0.05914715754835662,0.06374083803891492,0.09907992504921743,0.07872404644501486
2023-09-11,0.25870855949625693,0.19291647105795082,0.2488084317649607,0.05901552433076197,0.0635342224005397,0.09858144665917223,0.07843534429035762
2023-09-12,0.2595847212190252,0.19274283963039018,0.24916233405768973,0.05899533922339642,0.06373277551926007,0.09704709289393616,0.07873489745630223
2023-09-13,0.2664533134537744,0.191000737928267,0.24697086641041183,0.05819480870049341,0.06294087382868475,0.0966334075570175,0.07780599212135118
2023-09-14,0.2678579467383855,0.19055068115772186,0.24637741754389092,0.05834254078827731,0.0628058650077627,0.09642662606770983,0.07763892269625176
2023-09-15,0.2727870644018916,0.19048533896370298,0.24471169028521678,0.05786523326109422,0.062025176615148246,0.09553400622040599,0.07659149025254024
2023-09-18,0.27264390293308066,0.19095765293635203,0.2445291869325318,0.057834949723542604,0.061992657167263744,0.09547697292656626,0.0765646773806629
2023-09-19,0.27142156322001726,0.19528240163759225,0.2433958160112808,0.05740124042297329,0.0616546149535598,0.09473556089608946,0.07610880285848716
2023-09-20,0.2709180387178155,0.19556507502884685,0.24334513606342986,0.05736623845960176,0.06205816923695548,0.09465243244274946,0.07609491005060108
2023-09-21,0.2704524337350342,0.19592006293482406,0.24269450880077695,0.057232151243874686,0.0623092893689598,0.09538749140774248,0.07600406250878781
2023-09-22,0.2708132061525804,0.19615453205502043,0.24241613551217403,0.057122746230993685,0.06244293672166036,0.09522112226609358,0.07582932106147743
2023-09-25,0.27026882680940834,0.19729053032737015,0.24154495756386088,0.056931187030450026,0.06234146045927092,0.09604123266405691,0.07558180514558263
2023-09-26,0.26957378243711977,0.1972998809105626,0.24052384365724988,0.056467225401367845,0.06473812489637212,0.09649728198311049,0.07489986071421721
