,Mean Return,Ann. Vol,Sharpe,Sortino,Max DD,CVaR (5%)
Trad MVO,0.1888625956410028,0.05023942177432866,3.759250982014841,6.0274036816761045,-0.03399999401267466,-0.005932850423783562
Crypto MVO,0.833794198443917,1.6506375266519182,0.5051346434217748,0.601458006524601,-0.9287567486472232,-0.2533713388305806
Trad RP,0.02043856921356977,0.049506107749162205,0.412849447125353,0.5762609481295191,-0.07410183795318456,-0.00722175107529684
Crypto RP,0.8410990549140244,0.5402869496887206,1.556763596452983,2.421158255040692,-0.40551447636369353,-0.07014631601239227
Trad CVaR,0.05698258063010321,0.033240213446912484,1.7142663876424669,2.5168514522684733,-0.021201142782533183,-0.004285489257149395
Crypto CVaR,0.7792384055179034,0.48131691573112345,1.6189715757947865,2.600319036395655,-0.2914221951258983,-0.06224037535062899
