,Mean Return,Ann. Vol,Sharpe,Sortino,Max DD,CVaR (5%)
Trad CVaR,0.05698258063010321,0.033240213446912484,1.7142663876424669,2.5168514522684733,-0.021201142782533183,-0.004285489257149395
Crypto CVaR,0.7792384055179034,0.48131691573112345,1.6189715757947865,2.600319036395655,-0.2914221951258983,-0.06224037535062899
