peak,trough,recover,equity_dd
2020-02-19,2020-03-23,2020-08-18,-0.3392496000265327
2022-01-03,2022-10-12,2024-01-19,-0.2542509661923036
2018-09-20,2018-12-24,2019-04-23,-0.1977821043568201
2025-02-19,2025-04-08,2025-06-27,-0.18902206184283987
2018-01-26,2018-02-08,2018-08-24,-0.10159530548956264
