Series,alpha_ann,beta_mkt,beta_smb,beta_hml,R2,t_alpha,t_mkt,t_smb,t_hml
Equity_100,-0.017417001104729695,0.9882947074796354,-0.12370369278935442,0.020729251931206734,0.9968846755841783,-4.878065156690099,490.2263146513598,-39.39790852473694,7.579881487188085
70_30_Equity_AGG,-0.014076763654491484,0.6900088502100449,-0.06022245425195886,-0.0027877600723388513,0.9792842906824718,-2.2050559475924874,143.52177551521996,-6.915210353434391,-0.6018462232613331
60_40_Equity_AGG,-0.012981770489010952,0.5925398802012688,-0.04049221558970539,-0.010143725954846838,0.9572674827053108,-1.6308880535155135,95.57626751332216,-3.591322161374479,-1.7379367894474569
60_30_10_Equity_AGG_REIT,-0.017730897236508506,0.6727246952343663,-0.035785539879621596,0.01957970838067472,0.9568702891464592,-1.8268126527997948,92.27478820935151,-3.9022236553699328,2.7011520815885555
Diversified_40_30_10_10_10,-0.0015012988987829288,0.5126454329639731,-0.006519699262288268,0.03191089416564281,0.8657407048888818,-0.11001642650138836,58.85924795066153,-0.5449255850649231,3.603758062145799
PutWrite_100,-0.029964018453446182,0.6395746840490945,-0.15949785950069986,0.029356604645443526,0.8022731329768066,-1.4482369175727972,12.083735152555397,-5.413136424977347,1.1793927557807258
AllWeather_like,-0.003460825656817699,0.38097343694932145,0.046634782918763204,-0.02535787259109849,0.5940605984570195,-0.16435103593411882,33.095675782983186,2.2754926582710326,-2.069739791023787
Treasury_Barbell_IEF_TLT,-0.0008398921420370995,-0.11540770605083019,0.1165166565884153,-0.17324374677935925,0.0921480799334754,-0.025371415128477317,-5.4529589536543295,3.344377983132723,-9.284324642019813
